"name:ca"	"regio"	"comarca"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"border_type"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"el Voló"	"CatNord"	"Rosselló"	"18476"	"relation"	"Le Boulou"	"fr:Le Boulou"	"Q8672"		"8"			"66024"
"Elna"	"CatNord"	"Rosselló"	"18417"	"relation"	"Elne"	"fr:Elne"	"Q23073"		"8"			"66065"
"Espirà de l'Aglí"	"CatNord"	"Rosselló"	"23763"	"relation"	"Espira-de-l'Agly"	"fr:Espira-de-l'Agly"	"Q1110218"		"8"			"66069"
"Estagell"	"CatNord"	"Rosselló"	"1920758"	"relation"	"Estagel"	"fr:Estagel"	"Q669539"		"8"			"66071"
"Forques"	"CatNord"	"Rosselló"	"23804"	"relation"	"Fourques"	"fr:Fourques (Pyrénées-Orientales)"	"Q1093067"		"8"			"66084"
"Illa"	"CatNord"	"Rosselló"	"20339"	"relation"	"Ille-sur-Têt"	"fr:Ille-sur-Têt"	"Q689461"		"8"			"66088"
"l'Albera"	"CatNord"	"Rosselló"	"2768132"	"relation"	"L'Albère"	"fr:L'Albère"	"Q1093965"		"8"			"66001"
"la Bastida"	"CatNord"	"Rosselló"	"2919091"	"relation"	"La Bastide"	"fr:La Bastide (Pyrénées-Orientales)"	"Q673917"		"8"			"66018"
"la Roca d'Albera"	"CatNord"	"Rosselló"	"18475"	"relation"	"Laroque-des-Albères"	"fr:Laroque-des-Albères"	"Q8895"		"8"			"66093"
"la Torre del Bisbe"	"CatNord"	"Rosselló"	"272157"	"relation"	"Latour-Bas-Elne"	"fr:Latour-Bas-Elne"	"Q1369338"		"8"			"66094"
"les Cluses"	"CatNord"	"Rosselló"	"2768133"	"relation"	"Les Cluses"	"fr:Les Cluses"	"Q730422"		"8"			"66063"
"Llauró"	"CatNord"	"Rosselló"	"23823"	"relation"	"Llauro"	"fr:Llauro"	"Q1369316"		"8"			"66099"
"Llupià"	"CatNord"	"Rosselló"	"23308"	"relation"	"Llupia"	"fr:Llupia"	"Q189983"		"8"			"66101"
"Millars"	"CatNord"	"Rosselló"	"18484"	"relation"	"Millas"	"fr:Millas"	"Q1369210"		"8"			"66108"
"Montescot"	"CatNord"	"Rosselló"	"271356"	"relation"	"Montescot"	"fr:Montescot"	"Q1369653"		"8"			"66114"
"Montesquiu d'Albera"	"CatNord"	"Rosselló"	"2548784"	"relation"	"Montesquieu-des-Albères"	"fr:Montesquieu-des-Albères"	"Q8997"		"8"			"66115"
"Montner"	"CatNord"	"Rosselló"	"1920644"	"relation"	"Montner"	"fr:Montner"	"Q1369706"		"8"			"66118"
"Montoriol"	"CatNord"	"Rosselló"	"23895"	"relation"	"Montauriol"	"fr:Montauriol (Pyrénées-Orientales)"	"Q752538"		"8"			"66112"
"Nefiac"	"CatNord"	"Rosselló"	"274180"	"relation"	"Néfiach"	"fr:Néfiach"	"Q339360"		"8"			"66121"
"Oms"	"CatNord"	"Rosselló"	"54467"	"relation"	"Oms"	"fr:Oms (Pyrénées-Orientales)"	"Q7158"		"8"			"66126"
"Òpol i Perellós"	"CatNord"	"Rosselló"	"2815369"	"relation"	"Opoul-Périllos"	"fr:Opoul-Périllos"	"Q1369116"		"8"			"66127"
"Ortafà"	"CatNord"	"Rosselló"	"269776"	"relation"	"Ortaffa"	"fr:Ortaffa"	"Q784153"		"8"			"66129"
"Paçà"	"CatNord"	"Rosselló"	"23795"	"relation"	"Passa"	"fr:Passa"	"Q1369424"		"8"			"66134"
"Palau del Vidre"	"CatNord"	"Rosselló"	"23303"	"relation"	"Palau-del-Vidre"	"fr:Palau-del-Vidre"	"Q594597"		"8"			"66133"
"Paretstortes"	"CatNord"	"Rosselló"	"23759"	"relation"	"Peyrestortes"	"fr:Peyrestortes"	"Q195160"		"8"			"66138"
"Perpinyà"	"CatNord"	"Rosselló"	"18000"	"relation"	"Perpignan"	"fr:Perpignan"	"Q6730"		"8"			"66136"
"Pesillà de la Ribera"	"CatNord"	"Rosselló"	"74309"	"relation"	"Pézilla-la-Rivière"	"fr:Pézilla-la-Rivière"	"Q1369142"		"8"			"66140"
