"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Cornellà de la Ribera"	"CatNord"	"Rosselló"	"Cornellà de la Ribera"	"node"	"287557758"	"Corneilla-la-Rivière"	"Q197709"	"ca:Cornellà de la Ribera"	"village"	"8"				
"Cornellà del Bèrcol"	"CatNord"	"Rosselló"	"Cornellà del Bercol"	"node"	"139758920"	"Corneilla-del-Vercol"	"Q191063"	"ca:Cornellà del Bercol"	"village"	"8"				
"Cotlliure"	"CatNord"	"Rosselló"	"Cotlliure"	"node"	"26698499"	"Collioure"	"Q254829"	"ca:Cotlliure"	"village"	"8"				
"el Barcarès"	"CatNord"	"Rosselló"	"el Barcarès"	"node"	"26698349"	"Le Barcarès"	"Q689457"	"fr:Le Barcarès"	"village"	"8"				
"el Soler"	"CatNord"	"Rosselló"	"el Soler"	"node"	"26694812"	"Le Soler"	"Q1163139"	"ca:El Soler (Rosselló)"	"village"	"8"				
"el Voló"	"CatNord"	"Rosselló"	"el Voló"	"node"	"26695337"	"Le Boulou"	"Q8672"	"fr:Le Boulou"	"village"	"8"				
"Elna"	"CatNord"	"Rosselló"	"Elna"	"node"	"26696154"	"Elne"	"Q23073"	"ca:Elna"	"village"	"8"				
"Espirà de l'Aglí"	"CatNord"	"Rosselló"	"Espirà de l'Aglí"	"node"	"283618117"	"Espira-de-l'Agly"	"Q1110218"	"fr:Espira-de-l'Agly"	"village"	"8"				
"Estagell"	"CatNord"	"Rosselló"	"Estagell"	"node"	"26698591"	"Estagel"	"Q669539"	"fr:Estagel"	"village"	"8"				
"Forques"	"CatNord"	"Rosselló"	"Forques"	"node"	"283748797"	"Fourques"	"Q1093067"	"ca:Forques"	"village"	"8"				
"Illa"	"CatNord"	"Rosselló"	"Illa"	"node"	"26694586"	"Ille-sur-Têt"	"Q689461"	"ca:Illa (Rosselló)"	"village"	"8"				
"L'Albera"	"CatNord"	"Rosselló"	"l'Albera"	"node"	"313747280"	"L'Albère"	"Q1093965"	"fr:L'Albère"	"village"	"8"				
"la Bastida"	"CatNord"	"Rosselló"	"la Bastida"	"node"	"567343005"	"La Bastide"	"Q673917"	"ca:La Bastida"	"village"	"8"				
"la Roca d'Albera"	"CatNord"	"Rosselló"	"la Roca d'Albera"	"node"	"282872833"	"Laroque-des-Albères"	"Q8895"	"fr:Laroque-des-Albères"	"village"	"8"				
"la Torre d'Elna"	"CatNord"	"Rosselló"	"la Torre del Bisbe"	"node"	"313752925"	"Latour-Bas-Elne"	"Q1369338"	"ca:La Torre d'Elna"	"village"	"8"				
"les Cluses"	"CatNord"	"Rosselló"	"les Cluses"	"node"	"302075865"	"Les Cluses"	"Q730422"	"fr:Les Cluses"	"village"	"8"				
"Llauró"	"CatNord"	"Rosselló"	"Llauró"	"node"	"313754024"	"Llauro"	"Q1369316"	"ca:Llauró"	"village"	"8"				
"Llupià"	"CatNord"	"Rosselló"	"Llupià"	"node"	"282717148"	"Llupia"	"Q189983"	"ca:Llupià"	"village"	"8"				
"Millars"	"CatNord"	"Rosselló"	"Millars"	"node"	"26694845"	"Millas"	"Q1369210"	"ca:Millars (Rosselló)"	"village"	"8"				
"Montescot"	"CatNord"	"Rosselló"	"Montescot"	"node"	"313755468"	"Montescot"	"Q1369653"	"ca:Montescot"	"village"	"8"				
"Montesquiu d'Albera"	"CatNord"	"Rosselló"	"Montesquiu d'Albera"	"node"	"313757638"	"Montesquieu-des-Albères"	"Q8997"	"fr:Montesquieu-des-Albères"	"village"	"8"				
